Genome_ID,Species_current,Genus,Accession,Study_group
LABG_0001,Akkermansia muciniphila,Akkermansia,GCF_009731575.1,fermentative_non_LAB
LABG_0002,Bacillus clausii,Bacillus,GCF_034479305.1,external_comparator
LABG_0003,Bacillus coagulans,Bacillus,GCF_000832905.1,external_comparator
LABG_0004,Bacillus subtilis,Bacillus,GCF_000009045.1,external_comparator
LABG_0005,Bacteroides fragilis,Bacteroides,GCF_000025985.1,external_comparator
LABG_0006,Bacteroides xylanisolvens,Bacteroides,GCF_018289135.1,external_comparator
LABG_0007,Bifidobacterium adolescentis,Bifidobacterium,GCF_000010425.1,fermentative_non_LAB
LABG_0008,Bifidobacterium bifidum,Bifidobacterium,GCF_001025135.1,fermentative_non_LAB
LABG_0009,Bifidobacterium breve,Bifidobacterium,GCF_001025175.1,fermentative_non_LAB
LABG_0010,Bifidobacterium dentium,Bifidobacterium,GCF_001042595.1,fermentative_non_LAB
LABG_0011,Bifidobacterium infantis,Bifidobacterium,GCF_900637215.1,fermentative_non_LAB
LABG_0012,Bifidobacterium lactis,Bifidobacterium,GCF_000022965.1,fermentative_non_LAB
LABG_0013,Bifidobacterium longum,Bifidobacterium,GCF_000196555.1,fermentative_non_LAB
LABG_0014,Bifidobacterium pseudolongum,Bifidobacterium,GCF_002706665.1,fermentative_non_LAB
LABG_0015,Clostridium butyricum,Clostridium,GCF_014131795.1,external_comparator
LABG_0016,Enterococcus faecalis,Enterococcus,GCF_000393015.1,Enterococcus
LABG_0017,Enterococcus faecium,Enterococcus,GCF_009734005.1,Enterococcus
LABG_0018,Enterococcus mundtii,Enterococcus,GCF_002813755.1,Enterococcus
LABG_0019,Escherichia coli Nissle 1917,Escherichia,GCF_000714595.1,external_comparator
LABG_0020,Faecalibacterium prausnitzii,Faecalibacterium,GCF_000154385.1,external_comparator
LABG_0021,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000023085.1,core_LAB
LABG_0022,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000148815.2,core_LAB
LABG_0023,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000203855.3,core_LAB
LABG_0024,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000338115.2,core_LAB
LABG_0025,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000412205.1,core_LAB
LABG_0026,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000466905.3,core_LAB
LABG_0027,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000604105.1,core_LAB
LABG_0028,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_000931425.2,core_LAB
LABG_0029,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001272315.2,core_LAB
LABG_0030,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001278015.1,core_LAB
LABG_0031,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001296095.1,core_LAB
LABG_0032,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001302645.1,core_LAB
LABG_0033,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001331925.2,core_LAB
LABG_0034,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_001443645.1,core_LAB
LABG_0035,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001484005.1,core_LAB
LABG_0036,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001581895.1,core_LAB
LABG_0037,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001596095.1,core_LAB
LABG_0038,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001617525.2,core_LAB
LABG_0039,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001659745.1,core_LAB
LABG_0040,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001660025.1,core_LAB
LABG_0041,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001672035.1,core_LAB
LABG_0042,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001704315.1,core_LAB
LABG_0043,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001704335.1,core_LAB
LABG_0044,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001715615.1,core_LAB
LABG_0045,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001874125.1,core_LAB
LABG_0046,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001880185.2,core_LAB
LABG_0047,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_001990145.1,core_LAB
LABG_0048,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002005385.2,core_LAB
LABG_0049,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002024845.1,core_LAB
LABG_0050,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002109405.1,core_LAB
LABG_0051,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002109425.1,core_LAB
LABG_0052,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002116955.1,core_LAB
LABG_0053,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117245.1,core_LAB
LABG_0054,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117265.1,core_LAB
LABG_0055,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117285.1,core_LAB
LABG_0056,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002117305.1,core_LAB
LABG_0057,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002173655.1,core_LAB
LABG_0058,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002174195.1,core_LAB
LABG_0059,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002205775.2,core_LAB
LABG_0060,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_002211885.1,core_LAB
LABG_0061,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002220175.1,core_LAB
LABG_0062,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002220815.1,core_LAB
LABG_0063,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002286275.1,core_LAB
LABG_0064,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002290185.1,core_LAB
LABG_0065,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002576835.1,core_LAB
LABG_0066,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002749655.1,core_LAB
LABG_0067,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_002850015.1,core_LAB
LABG_0068,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002868755.1,core_LAB
LABG_0069,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002868775.1,core_LAB
LABG_0070,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002895245.1,core_LAB
LABG_0071,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002906875.1,core_LAB
LABG_0072,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002943545.1,core_LAB
LABG_0073,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_002948215.1,core_LAB
LABG_0074,Lactiplantibacillus koreensis,Lactiplantibacillus,GCF_002970915.1,core_LAB
LABG_0075,Lactiplantibacillus kimchii,Lactiplantibacillus,GCF_002970935.1,core_LAB
LABG_0076,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003020005.1,core_LAB
LABG_0077,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003097595.1,core_LAB
LABG_0078,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003143915.1,core_LAB
LABG_0079,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003269405.1,core_LAB
LABG_0080,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003286955.1,core_LAB
LABG_0081,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003325395.1,core_LAB
LABG_0082,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003345375.1,core_LAB
LABG_0083,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003352125.1,core_LAB
LABG_0084,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003428355.1,core_LAB
LABG_0085,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003586485.1,core_LAB
LABG_0086,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003589725.1,core_LAB
LABG_0087,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003597595.1,core_LAB
LABG_0088,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003597615.1,core_LAB
LABG_0089,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003597635.1,core_LAB
LABG_0090,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003611015.1,core_LAB
LABG_0091,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_003627295.1,core_LAB
LABG_0092,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003627335.1,core_LAB
LABG_0093,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003627355.1,core_LAB
LABG_0094,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_003627375.1,core_LAB
LABG_0095,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_003641145.1,core_LAB
LABG_0096,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_003641165.1,core_LAB
LABG_0097,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_003641185.1,core_LAB
LABG_0098,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003813125.1,core_LAB
LABG_0099,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003966855.1,core_LAB
LABG_0100,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003999275.1,core_LAB
LABG_0101,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_003999605.1,core_LAB
LABG_0102,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004028295.1,core_LAB
LABG_0103,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004028315.1,core_LAB
LABG_0104,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004028335.1,core_LAB
LABG_0105,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004087995.1,core_LAB
LABG_0106,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101325.1,core_LAB
LABG_0107,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101505.1,core_LAB
LABG_0108,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101545.1,core_LAB
LABG_0109,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101625.1,core_LAB
LABG_0110,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004101645.1,core_LAB
LABG_0111,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004103495.1,core_LAB
LABG_0112,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004103515.1,core_LAB
LABG_0113,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004141755.1,core_LAB
LABG_0114,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004141875.1,core_LAB
LABG_0115,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004141895.1,core_LAB
LABG_0116,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004319665.1,core_LAB
LABG_0117,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004328745.1,core_LAB
LABG_0118,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004337615.1,core_LAB
LABG_0119,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_004730965.1,core_LAB
LABG_0120,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_005576935.1,core_LAB
LABG_0121,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_006770485.1,core_LAB
LABG_0122,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_006770505.1,core_LAB
LABG_0123,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_007833595.1,core_LAB
LABG_0124,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009619495.1,core_LAB
LABG_0125,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009720585.1,core_LAB
LABG_0126,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009759825.1,core_LAB
LABG_0127,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009759845.1,core_LAB
LABG_0128,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009762745.1,core_LAB
LABG_0129,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913615.1,core_LAB
LABG_0130,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913635.1,core_LAB
LABG_0131,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913655.1,core_LAB
LABG_0132,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913675.1,core_LAB
LABG_0133,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913695.1,core_LAB
LABG_0134,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913835.1,core_LAB
LABG_0135,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913855.1,core_LAB
LABG_0136,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009913975.1,core_LAB
LABG_0137,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009914095.1,core_LAB
LABG_0138,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_009937825.1,core_LAB
LABG_0139,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_010092485.1,core_LAB
LABG_0140,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_010586945.1,core_LAB
LABG_0141,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_011022295.1,core_LAB
LABG_0142,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_011304595.2,core_LAB
LABG_0143,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_012109355.1,core_LAB
LABG_0144,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_012974545.1,core_LAB
LABG_0145,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_013113675.1,core_LAB
LABG_0146,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013155145.1,core_LAB
LABG_0147,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013256965.1,core_LAB
LABG_0148,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013305265.1,core_LAB
LABG_0149,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013367715.1,core_LAB
LABG_0150,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013458335.1,core_LAB
LABG_0151,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013487805.1,core_LAB
LABG_0152,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_013694305.1,core_LAB
LABG_0153,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_014041895.1,core_LAB
LABG_0154,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_014084065.1,core_LAB
LABG_0155,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_014131735.1,core_LAB
LABG_0156,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_014840995.1,core_LAB
LABG_0157,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_015377525.1,core_LAB
