Genus,N_genomes,Marker_ID,Gene_symbol,Present_n,Absent_n,Prevalence
Lactiplantibacillus,462,UM001,glk,462,0,1.0
Lactiplantibacillus,462,UM002,pgi,462,0,1.0
Lactiplantibacillus,462,UM003,pfk,462,0,1.0
Lactiplantibacillus,462,UM004,fba,462,0,1.0
Lactiplantibacillus,462,UM005,tpi,462,0,1.0
Lactiplantibacillus,462,UM006,gap,462,0,1.0
Lactiplantibacillus,462,UM007,pgk,462,0,1.0
Lactiplantibacillus,462,UM008,pgm,462,0,1.0
Lactiplantibacillus,462,UM009,eno,462,0,1.0
Lactiplantibacillus,462,UM010,pyk,462,0,1.0
Lactiplantibacillus,462,UM011,ldh,462,0,1.0
Lactiplantibacillus,462,UM012,ldhD,462,0,1.0
Lactiplantibacillus,462,UM013,xfp,462,0,1.0
Lactiplantibacillus,462,UM014,zwf,462,0,1.0
Lactiplantibacillus,462,UM015,pgl,462,0,1.0
Lactiplantibacillus,462,UM016,gnd,462,0,1.0
Lactiplantibacillus,462,UM017,rpe,462,0,1.0
Lactiplantibacillus,462,UM018,rpi,462,0,1.0
Lactiplantibacillus,462,UM019,pta,462,0,1.0
Lactiplantibacillus,462,UM020,ackA,462,0,1.0
Lactiplantibacillus,462,UM021,adhE,462,0,1.0
Lactiplantibacillus,462,UM022,adh,462,0,1.0
Lactiplantibacillus,462,UM023,pfl,459,3,0.9935
Lactiplantibacillus,462,UM024,alsS,462,0,1.0
Lactiplantibacillus,462,UM025,alsD,462,0,1.0
Lactiplantibacillus,462,UM026,pox,462,0,1.0
Lactiplantibacillus,462,UM027,noxE,462,0,1.0
Lactiplantibacillus,462,UM028,npr,462,0,1.0
Lactobacillus,15,UM001,glk,10,5,0.6667
Lactobacillus,15,UM002,pgi,15,0,1.0
Lactobacillus,15,UM003,pfk,13,2,0.8667
Lactobacillus,15,UM004,fba,13,2,0.8667
Lactobacillus,15,UM005,tpi,15,0,1.0
Lactobacillus,15,UM006,gap,15,0,1.0
Lactobacillus,15,UM007,pgk,15,0,1.0
Lactobacillus,15,UM008,pgm,15,0,1.0
Lactobacillus,15,UM009,eno,15,0,1.0
Lactobacillus,15,UM010,pyk,15,0,1.0
