Genus,N_genomes,Module_ID,N_markers,Universal_markers,Mean_marker_prevalence,Minimum_marker_prevalence,Module_status,Markers
Lactiplantibacillus,462,FM01,10,10,1.0,1.0,COMPLETE_CORE,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Lactiplantibacillus,462,FM02,2,2,1.0,1.0,COMPLETE_CORE,ldh;ldhD
Lactiplantibacillus,462,FM03,6,6,1.0,1.0,COMPLETE_CORE,gnd;pgl;rpe;rpi;xfp;zwf
Lactiplantibacillus,462,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Lactiplantibacillus,462,FM05,2,2,1.0,1.0,COMPLETE_CORE,adh;adhE
Lactiplantibacillus,462,FM06,4,3,0.9984,0.9935,NEAR_COMPLETE,alsD;alsS;pfl;pox
Lactiplantibacillus,462,FM07,5,5,1.0,1.0,COMPLETE_CORE,adhE;ldh;ldhD;noxE;npr
Lactobacillus,15,FM01,10,7,0.94,0.6667,PARTIALLY_CONSERVED,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Lactobacillus,15,FM02,2,1,0.9667,0.9333,PARTIALLY_CONSERVED,ldh;ldhD
Lactobacillus,15,FM03,6,5,0.9889,0.9333,PARTIALLY_CONSERVED,gnd;pgl;rpe;rpi;xfp;zwf
Lactobacillus,15,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Lactobacillus,15,FM05,2,1,0.7667,0.5333,PARTIALLY_CONSERVED,adh;adhE
Lactobacillus,15,FM06,4,0,0.65,0.4,VARIABLE,alsD;alsS;pfl;pox
Lactobacillus,15,FM07,5,2,0.8667,0.5333,PARTIALLY_CONSERVED,adhE;ldh;ldhD;noxE;npr
Leuconostoc,3,FM01,10,8,0.8333,0.0,PARTIALLY_CONSERVED,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Leuconostoc,3,FM02,2,1,0.5,0.0,VARIABLE,ldh;ldhD
Leuconostoc,3,FM03,6,5,0.9444,0.6667,PARTIALLY_CONSERVED,gnd;pgl;rpe;rpi;xfp;zwf
Leuconostoc,3,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Leuconostoc,3,FM05,2,2,1.0,1.0,COMPLETE_CORE,adh;adhE
Leuconostoc,3,FM06,4,2,0.6667,0.0,VARIABLE,alsD;alsS;pfl;pox
Leuconostoc,3,FM07,5,4,0.8,0.0,PARTIALLY_CONSERVED,adhE;ldh;ldhD;noxE;npr
Weissella,3,FM01,10,8,0.8667,0.0,PARTIALLY_CONSERVED,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Weissella,3,FM02,2,1,0.8334,0.6667,PARTIALLY_CONSERVED,ldh;ldhD
Weissella,3,FM03,6,6,1.0,1.0,COMPLETE_CORE,gnd;pgl;rpe;rpi;xfp;zwf
Weissella,3,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Weissella,3,FM05,2,2,1.0,1.0,COMPLETE_CORE,adh;adhE
Weissella,3,FM06,4,1,0.5,0.0,VARIABLE,alsD;alsS;pfl;pox
Weissella,3,FM07,5,3,0.8667,0.6667,PARTIALLY_CONSERVED,adhE;ldh;ldhD;noxE;npr
Lactococcus,1,FM01,10,10,1.0,1.0,COMPLETE_CORE,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Lactococcus,1,FM02,2,1,0.5,0.0,VARIABLE,ldh;ldhD
Lactococcus,1,FM03,6,6,1.0,1.0,COMPLETE_CORE,gnd;pgl;rpe;rpi;xfp;zwf
Lactococcus,1,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Lactococcus,1,FM05,2,2,1.0,1.0,COMPLETE_CORE,adh;adhE
Lactococcus,1,FM06,4,4,1.0,1.0,COMPLETE_CORE,alsD;alsS;pfl;pox
Lactococcus,1,FM07,5,3,0.6,0.0,VARIABLE,adhE;ldh;ldhD;noxE;npr
Pediococcus,1,FM01,10,10,1.0,1.0,COMPLETE_CORE,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Pediococcus,1,FM02,2,2,1.0,1.0,COMPLETE_CORE,ldh;ldhD
Pediococcus,1,FM03,6,6,1.0,1.0,COMPLETE_CORE,gnd;pgl;rpe;rpi;xfp;zwf
Pediococcus,1,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Pediococcus,1,FM05,2,2,1.0,1.0,COMPLETE_CORE,adh;adhE
Pediococcus,1,FM06,4,3,0.75,0.0,PARTIALLY_CONSERVED,alsD;alsS;pfl;pox
Pediococcus,1,FM07,5,5,1.0,1.0,COMPLETE_CORE,adhE;ldh;ldhD;noxE;npr
Streptococcus,1,FM01,10,10,1.0,1.0,COMPLETE_CORE,eno;fba;gap;glk;pfk;pgi;pgk;pgm;pyk;tpi
Streptococcus,1,FM02,2,1,0.5,0.0,VARIABLE,ldh;ldhD
Streptococcus,1,FM03,6,2,0.3333,0.0,VARIABLE,gnd;pgl;rpe;rpi;xfp;zwf
Streptococcus,1,FM04,2,2,1.0,1.0,COMPLETE_CORE,ackA;pta
Streptococcus,1,FM05,2,2,1.0,1.0,COMPLETE_CORE,adh;adhE
Streptococcus,1,FM06,4,3,0.75,0.0,PARTIALLY_CONSERVED,alsD;alsS;pfl;pox
Streptococcus,1,FM07,5,3,0.6,0.0,VARIABLE,adhE;ldh;ldhD;noxE;npr
