Species,N_genomes,Marker_ID,Gene_symbol,Present_n,Absent_n,Prevalence
Lactiplantibacillus plantarum,411,UM001,glk,411,0,1.0
Lactiplantibacillus plantarum,411,UM002,pgi,411,0,1.0
Lactiplantibacillus plantarum,411,UM003,pfk,411,0,1.0
Lactiplantibacillus plantarum,411,UM004,fba,411,0,1.0
Lactiplantibacillus plantarum,411,UM005,tpi,411,0,1.0
Lactiplantibacillus plantarum,411,UM006,gap,411,0,1.0
Lactiplantibacillus plantarum,411,UM007,pgk,411,0,1.0
Lactiplantibacillus plantarum,411,UM008,pgm,411,0,1.0
Lactiplantibacillus plantarum,411,UM009,eno,411,0,1.0
Lactiplantibacillus plantarum,411,UM010,pyk,411,0,1.0
Lactiplantibacillus plantarum,411,UM011,ldh,411,0,1.0
Lactiplantibacillus plantarum,411,UM012,ldhD,411,0,1.0
Lactiplantibacillus plantarum,411,UM013,xfp,411,0,1.0
Lactiplantibacillus plantarum,411,UM014,zwf,411,0,1.0
Lactiplantibacillus plantarum,411,UM015,pgl,411,0,1.0
Lactiplantibacillus plantarum,411,UM016,gnd,411,0,1.0
Lactiplantibacillus plantarum,411,UM017,rpe,411,0,1.0
Lactiplantibacillus plantarum,411,UM018,rpi,411,0,1.0
Lactiplantibacillus plantarum,411,UM019,pta,411,0,1.0
Lactiplantibacillus plantarum,411,UM020,ackA,411,0,1.0
Lactiplantibacillus plantarum,411,UM021,adhE,411,0,1.0
Lactiplantibacillus plantarum,411,UM022,adh,411,0,1.0
Lactiplantibacillus plantarum,411,UM023,pfl,411,0,1.0
Lactiplantibacillus plantarum,411,UM024,alsS,411,0,1.0
Lactiplantibacillus plantarum,411,UM025,alsD,411,0,1.0
Lactiplantibacillus plantarum,411,UM026,pox,411,0,1.0
Lactiplantibacillus plantarum,411,UM027,noxE,411,0,1.0
Lactiplantibacillus plantarum,411,UM028,npr,411,0,1.0
Lactiplantibacillus paraplantarum,9,UM001,glk,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM002,pgi,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM003,pfk,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM004,fba,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM005,tpi,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM006,gap,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM007,pgk,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM008,pgm,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM009,eno,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM010,pyk,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM011,ldh,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM012,ldhD,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM013,xfp,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM014,zwf,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM015,pgl,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM016,gnd,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM017,rpe,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM018,rpi,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM019,pta,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM020,ackA,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM021,adhE,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM022,adh,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM023,pfl,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM024,alsS,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM025,alsD,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM026,pox,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM027,noxE,9,0,1.0
Lactiplantibacillus paraplantarum,9,UM028,npr,9,0,1.0
Lactiplantibacillus pentosus,21,UM001,glk,21,0,1.0
