Gene_ID,core_LAB,external_comparator,fermentative_non_LAB,max_control_prevalence,LAB_contrast
GC027,0.992,0.0,0.1,0.1,0.892
GC012,0.994,0.375,0.1,0.375,0.619
GC033,0.994,0.375,0.1,0.375,0.619
GC025,0.986,0.25,0.4,0.4,0.586
GC030,0.99,0.5,0.1,0.5,0.49
GC029,0.986,0.375,0.6,0.6,0.386
GC022,0.986,0.875,0.8,0.875,0.111
GC018,1.0,0.75,0.9,0.9,0.1
GC014,0.998,0.75,0.9,0.9,0.098
GC015,0.998,0.875,0.9,0.9,0.098
GC013,0.996,0.125,0.9,0.9,0.096
GC016,0.996,0.75,0.9,0.9,0.096
GC011,0.992,0.625,0.9,0.9,0.092
GC032,0.992,0.625,0.9,0.9,0.092
GC023,0.961,0.75,0.9,0.9,0.061
GC002,1.0,1.0,1.0,1.0,0.0
GC005,1.0,1.0,1.0,1.0,0.0
GC006,1.0,1.0,1.0,1.0,0.0
GC007,1.0,1.0,0.9,1.0,0.0
GC008,1.0,0.625,1.0,1.0,0.0
GC009,1.0,1.0,1.0,1.0,0.0
GC010,1.0,1.0,1.0,1.0,0.0
GC017,1.0,1.0,1.0,1.0,0.0
GC019,1.0,1.0,0.1,1.0,0.0
GC020,1.0,1.0,0.9,1.0,0.0
GC021,1.0,1.0,0.9,1.0,0.0
GC031,1.0,1.0,0.9,1.0,0.0
GC001,0.99,1.0,0.5,1.0,-0.01
GC004,0.99,1.0,1.0,1.0,-0.01
GC024,0.988,1.0,1.0,1.0,-0.012
GC003,0.984,1.0,0.9,1.0,-0.016
