Gene_ID,Study_group,Present_n,Total_n,Prevalence
GC001,Enterococcus,3,3,1.0
GC001,core_LAB,481,486,0.99
GC001,external_comparator,8,8,1.0
GC001,fermentative_non_LAB,5,10,0.5
GC002,Enterococcus,3,3,1.0
GC002,core_LAB,486,486,1.0
GC002,external_comparator,8,8,1.0
GC002,fermentative_non_LAB,10,10,1.0
GC003,Enterococcus,3,3,1.0
GC003,core_LAB,478,486,0.984
GC003,external_comparator,8,8,1.0
GC003,fermentative_non_LAB,9,10,0.9
GC004,Enterococcus,3,3,1.0
GC004,core_LAB,481,486,0.99
GC004,external_comparator,8,8,1.0
GC004,fermentative_non_LAB,10,10,1.0
GC005,Enterococcus,3,3,1.0
GC005,core_LAB,486,486,1.0
GC005,external_comparator,8,8,1.0
GC005,fermentative_non_LAB,10,10,1.0
GC006,Enterococcus,3,3,1.0
GC006,core_LAB,486,486,1.0
GC006,external_comparator,8,8,1.0
GC006,fermentative_non_LAB,10,10,1.0
GC007,Enterococcus,3,3,1.0
GC007,core_LAB,486,486,1.0
GC007,external_comparator,8,8,1.0
GC007,fermentative_non_LAB,9,10,0.9
GC008,Enterococcus,3,3,1.0
GC008,core_LAB,486,486,1.0
GC008,external_comparator,5,8,0.625
GC008,fermentative_non_LAB,10,10,1.0
GC009,Enterococcus,3,3,1.0
GC009,core_LAB,486,486,1.0
GC009,external_comparator,8,8,1.0
GC009,fermentative_non_LAB,10,10,1.0
GC010,Enterococcus,3,3,1.0
GC010,core_LAB,486,486,1.0
GC010,external_comparator,8,8,1.0
GC010,fermentative_non_LAB,10,10,1.0
GC011,Enterococcus,3,3,1.0
GC011,core_LAB,482,486,0.992
GC011,external_comparator,5,8,0.625
GC011,fermentative_non_LAB,9,10,0.9
GC012,Enterococcus,0,3,0.0
GC012,core_LAB,483,486,0.994
GC012,external_comparator,3,8,0.375
GC012,fermentative_non_LAB,1,10,0.1
GC013,Enterococcus,2,3,0.667
GC013,core_LAB,484,486,0.996
GC013,external_comparator,1,8,0.125
GC013,fermentative_non_LAB,9,10,0.9
GC014,Enterococcus,3,3,1.0
GC014,core_LAB,485,486,0.998
GC014,external_comparator,6,8,0.75
GC014,fermentative_non_LAB,9,10,0.9
GC015,Enterococcus,3,3,1.0
GC015,core_LAB,485,486,0.998
GC015,external_comparator,7,8,0.875
GC015,fermentative_non_LAB,9,10,0.9
GC016,Enterococcus,3,3,1.0
GC016,core_LAB,484,486,0.996
GC016,external_comparator,6,8,0.75
GC016,fermentative_non_LAB,9,10,0.9
GC017,Enterococcus,3,3,1.0
GC017,core_LAB,486,486,1.0
GC017,external_comparator,8,8,1.0
GC017,fermentative_non_LAB,10,10,1.0
GC018,Enterococcus,3,3,1.0
GC018,core_LAB,486,486,1.0
GC018,external_comparator,6,8,0.75
GC018,fermentative_non_LAB,9,10,0.9
GC019,Enterococcus,3,3,1.0
GC019,core_LAB,486,486,1.0
GC019,external_comparator,8,8,1.0
GC019,fermentative_non_LAB,1,10,0.1
GC020,Enterococcus,3,3,1.0
GC020,core_LAB,486,486,1.0
GC020,external_comparator,8,8,1.0
GC020,fermentative_non_LAB,9,10,0.9
GC021,Enterococcus,3,3,1.0
GC021,core_LAB,486,486,1.0
GC021,external_comparator,8,8,1.0
GC021,fermentative_non_LAB,9,10,0.9
GC022,Enterococcus,3,3,1.0
GC022,core_LAB,479,486,0.986
GC022,external_comparator,7,8,0.875
GC022,fermentative_non_LAB,8,10,0.8
GC023,Enterococcus,3,3,1.0
GC023,core_LAB,467,486,0.961
GC023,external_comparator,6,8,0.75
GC023,fermentative_non_LAB,9,10,0.9
GC024,Enterococcus,3,3,1.0
GC024,core_LAB,480,486,0.988
GC024,external_comparator,8,8,1.0
GC024,fermentative_non_LAB,10,10,1.0
GC025,Enterococcus,3,3,1.0
GC025,core_LAB,479,486,0.986
GC025,external_comparator,2,8,0.25
GC025,fermentative_non_LAB,4,10,0.4
GC027,Enterococcus,2,3,0.667
GC027,core_LAB,482,486,0.992
GC027,external_comparator,0,8,0.0
GC027,fermentative_non_LAB,1,10,0.1
GC029,Enterococcus,3,3,1.0
GC029,core_LAB,479,486,0.986
GC029,external_comparator,3,8,0.375
GC029,fermentative_non_LAB,6,10,0.6
GC030,Enterococcus,3,3,1.0
GC030,core_LAB,481,486,0.99
GC030,external_comparator,4,8,0.5
GC030,fermentative_non_LAB,1,10,0.1
GC031,Enterococcus,3,3,1.0
GC031,core_LAB,486,486,1.0
GC031,external_comparator,8,8,1.0
GC031,fermentative_non_LAB,9,10,0.9
GC032,Enterococcus,3,3,1.0
GC032,core_LAB,482,486,0.992
GC032,external_comparator,5,8,0.625
GC032,fermentative_non_LAB,9,10,0.9
GC033,Enterococcus,0,3,0.0
GC033,core_LAB,483,486,0.994
GC033,external_comparator,3,8,0.375
GC033,fermentative_non_LAB,1,10,0.1
