Study_group,Module_ID,N_genomes,Mean_coverage,Median_coverage,Min_coverage,Max_coverage,Any_marker_n,Complete_module_n
Enterococcus,FM01,3,1.0,1.0,1.0,1.0,3,3
Enterococcus,FM02,3,0.5,0.5,0.5,0.5,3,0
Enterococcus,FM03,3,0.944,1.0,0.833,1.0,3,2
Enterococcus,FM04,3,1.0,1.0,1.0,1.0,3,3
Enterococcus,FM05,3,1.0,1.0,1.0,1.0,3,3
Enterococcus,FM06,3,0.917,1.0,0.75,1.0,3,2
Enterococcus,FM07,3,0.8,0.8,0.8,0.8,3,0
core_LAB,FM01,486,0.996,1.0,0.8,1.0,486,473
core_LAB,FM02,486,0.993,1.0,0.5,1.0,486,479
core_LAB,FM03,486,0.998,1.0,0.333,1.0,486,483
core_LAB,FM04,486,1.0,1.0,1.0,1.0,486,486
core_LAB,FM05,486,0.993,1.0,0.5,1.0,486,479
core_LAB,FM06,486,0.981,1.0,0.25,1.0,486,465
core_LAB,FM07,486,0.992,1.0,0.6,1.0,486,472
external_comparator,FM01,8,0.963,1.0,0.9,1.0,8,5
external_comparator,FM02,8,0.5,0.5,0.0,1.0,7,1
external_comparator,FM03,8,0.708,0.833,0.167,1.0,8,1
external_comparator,FM04,8,1.0,1.0,1.0,1.0,8,8
external_comparator,FM05,8,0.938,1.0,0.5,1.0,8,7
external_comparator,FM06,8,0.5,0.5,0.25,0.75,8,0
external_comparator,FM07,8,0.575,0.6,0.4,0.8,8,0
fermentative_non_LAB,FM01,10,0.93,0.9,0.8,1.0,10,4
fermentative_non_LAB,FM02,10,0.5,0.5,0.5,0.5,10,0
fermentative_non_LAB,FM03,10,0.917,1.0,0.167,1.0,10,9
fermentative_non_LAB,FM04,10,0.5,0.5,0.5,0.5,10,0
fermentative_non_LAB,FM05,10,0.85,1.0,0.0,1.0,9,8
fermentative_non_LAB,FM06,10,0.6,0.5,0.5,0.75,10,0
fermentative_non_LAB,FM07,10,0.52,0.6,0.4,0.6,10,0
