Genome_ID,Species_original,Species_current,Genus,Accession,FASTA_file,Study_group,Duplicate_accession,Include_primary_analysis,Assembly_level,Genome_size_bp,GC_percent,CDS,rRNA,tRNA,Contigs,N50_bp,Isolation_source,Fermentation_type,Notes
LABG_0001,Akkermansia muciniphila,Akkermansia muciniphila,Akkermansia,GCF_009731575.1,GCF_009731575.1_ASM973157v1_genomic.fna,fermentative_non_LAB,False,,,2878459,55.6373,,,,2,,,,
LABG_0002,Bacillus clausii,Bacillus clausii,Bacillus,GCF_034479305.1,GCF_034479305.1_ASM3447930v1_genomic.fna,external_comparator,False,,,4498248,44.6821,,,,1,,,,
LABG_0003,Bacillus coagulans,Bacillus coagulans,Bacillus,GCF_000832905.1,GCF_000832905.1_ASM83290v1_genomic.fna,external_comparator,False,,,3366995,46.8972,,,,1,,,,
LABG_0004,Bacillus subtilis,Bacillus subtilis,Bacillus,GCF_000009045.1,GCF_000009045.1_ASM904v1_genomic.fna,external_comparator,False,,,4215606,43.5144,,,,1,,,,
LABG_0005,Bacteroides fragilis,Bacteroides fragilis,Bacteroides,GCF_000025985.1,GCF_000025985.1_ASM2598v1_genomic.fna,external_comparator,False,,,5241700,43.1142,,,,2,,,,
LABG_0006,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Bacteroides,GCF_018289135.1,GCF_018289135.1_ASM1828913v1_genomic.fna,external_comparator,False,,,6558523,42.0751,,,,4,,,,
LABG_0007,Bifidobacterium adolescentis,Bifidobacterium adolescentis,Bifidobacterium,GCF_000010425.1,GCF_000010425.1_ASM1042v1_genomic.fna,fermentative_non_LAB,False,,,2089645,59.1843,,,,1,,,,
LABG_0008,Bifidobacterium bifidum,Bifidobacterium bifidum,Bifidobacterium,GCF_001025135.1,GCF_001025135.1_ASM102513v1_genomic.fna,fermentative_non_LAB,False,,,2211039,62.6649,,,,1,,,,
LABG_0009,Bifidobacterium breve,Bifidobacterium breve,Bifidobacterium,GCF_001025175.1,GCF_001025175.1_ASM102517v1_genomic.fna,fermentative_non_LAB,False,,,2269415,58.8903,,,,1,,,,
LABG_0010,Bifidobacterium dentium,Bifidobacterium dentium,Bifidobacterium,GCF_001042595.1,GCF_001042595.1_ASM104259v1_genomic.fna,fermentative_non_LAB,False,,,2635669,58.5379,,,,1,,,,
LABG_0011,Bifidobacterium infantis,Bifidobacterium infantis,Bifidobacterium,GCF_900637215.1,GCF_900637215.1_49888_B01_genomic.fna,fermentative_non_LAB,False,,,2832748,59.8635,,,,1,,,,
LABG_0012,Bifidobacterium lactis,Bifidobacterium lactis,Bifidobacterium,GCF_000022965.1,GCF_000022965.1_ASM2296v1_genomic.fna,fermentative_non_LAB,False,,,1938483,60.482,,,,1,,,,
LABG_0013,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium,GCF_000196555.1,GCF_000196555.1_ASM19655v1_genomic.fna,fermentative_non_LAB,False,,,2385164,60.3297,,,,1,,,,
LABG_0014,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum,Bifidobacterium,GCF_002706665.1,GCF_002706665.1_ASM270666v1_genomic.fna,fermentative_non_LAB,False,,,1978157,63.3383,,,,1,,,,
LABG_0015,Clostridium butyricum,Clostridium butyricum,Clostridium,GCF_014131795.1,GCF_014131795.1_ASM1413179v1_genomic.fna,external_comparator,False,,,4705596,28.7419,,,,4,,,,
