Genome_ID	Species	Accession	Gene_ID	Module_ID	Catalog_gene_symbol	locus_tag	Prokka_gene	EC_number	product	Evidence
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC001	FM01	glk	LABG0001_00117	glkA_1	2.7.1.2	Glucokinase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC003	FM01	pfk	LABG0001_00229	pfkA	2.7.1.11	ATP-dependent 6-phosphofructokinase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC010	FM01	pyk	LABG0001_00501	pyk	2.7.1.40	Pyruvate kinase	gene+EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC005	FM01	tpi	LABG0001_00634	tpiA	5.3.1.1	Triosephosphate isomerase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC030	FM07	npr	LABG0001_00856	rbr2	1.11.1.1	Rubrerythrin-2	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC009	FM01	eno	LABG0001_00878	eno_1	4.2.1.11	Enolase	gene+EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC024	FM06	alsS	LABG0001_00917	ilvH	2.2.1.6	Acetolactate synthase small subunit	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC012	FM02	ldhD	LABG0001_00956	ldhA	1.1.1.28	D-lactate dehydrogenase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC033	FM07	ldhD	LABG0001_00956	ldhA	1.1.1.28	D-lactate dehydrogenase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC008	FM01	pgm	LABG0001_00957	gpmA	5.4.2.11	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC004	FM01	fba	LABG0001_01007	fba	4.1.2.13	Fructose-bisphosphate aldolase	gene+EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC001	FM01	glk	LABG0001_01189	glkA_2	2.7.1.2	Glucokinase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC009	FM01	eno	LABG0001_01286	eno_2	4.2.1.11	Enolase	gene+EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC006	FM01	gap	LABG0001_01522	gap	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase	gene+EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC019	FM04	pta	LABG0001_01533	eutD	2.3.1.8	Phosphate acetyltransferase EutD	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC003	FM01	pfk	LABG0001_01632	pfkA2	2.7.1.11	ATP-dependent 6-phosphofructokinase 2	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC023	FM06	pfl	LABG0001_01696	pflB	2.3.1.54	Formate acetyltransferase	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC024	FM06	alsS	LABG0001_01873	ilvB	2.2.1.6	Acetolactate synthase large subunit	EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC017	FM03	rpe	LABG0001_01875	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase	gene+EC
LABG_0001	Akkermansia muciniphila	GCF_009731575.1	GC002	FM01	pgi	LABG0001_02210	pgi	5.3.1.9	Glucose-6-phosphate isomerase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC021	FM05	adhE	LABG0002_00005	adh_1	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC022	FM05	adh	LABG0002_00005	adh_1	1.1.1.1	Alcohol dehydrogenase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC031	FM07	adhE	LABG0002_00005	adh_1	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC021	FM05	adhE	LABG0002_00309	adhB	1.1.1.1	Alcohol dehydrogenase 2	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC022	FM05	adh	LABG0002_00309	adhB	1.1.1.1	Alcohol dehydrogenase 2	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC031	FM07	adhE	LABG0002_00309	adhB	1.1.1.1	Alcohol dehydrogenase 2	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC004	FM01	fba	LABG0002_00436	fbaA_1	4.1.2.13	putative fructose-bisphosphate aldolase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC015	FM03	pgl	LABG0002_00774	pgl	3.1.1.31	6-phosphogluconolactonase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC004	FM01	fba	LABG0002_00873	fba_1	4.1.2.13	Fructose-bisphosphate aldolase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC001	FM01	glk	LABG0002_01767	glcK	2.7.1.2	Glucokinase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC022	FM05	adh	LABG0002_01869	adh_2	1.2.1.3	Aldehyde dehydrogenase	gene
LABG_0002	Bacillus clausii	GCF_034479305.1	GC029	FM07	noxE	LABG0002_01893	nox	1.6.3.4	NADH oxidase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC014	FM03	zwf	LABG0002_01978	zwf_1	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC016	FM03	gnd	LABG0002_01980	gndA	1.1.1.44	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC024	FM06	alsS	LABG0002_02088	ilvB2	2.2.1.6	Putative acetolactate synthase large subunit IlvB2	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC017	FM03	rpe	LABG0002_02427	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC011	FM02	ldh	LABG0002_02634	ldh	1.4.1.9	Leucine dehydrogenase	gene
LABG_0002	Bacillus clausii	GCF_034479305.1	GC032	FM07	ldh	LABG0002_02634	ldh	1.4.1.9	Leucine dehydrogenase	gene
LABG_0002	Bacillus clausii	GCF_034479305.1	GC024	FM06	alsS	LABG0002_02836	ilvH	2.2.1.6	Acetolactate synthase small subunit	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC024	FM06	alsS	LABG0002_02837	ilvB	2.2.1.6	Acetolactate synthase large subunit	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC010	FM01	pyk	LABG0002_02920	pyk	2.7.1.40	Pyruvate kinase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC003	FM01	pfk	LABG0002_02921	pfkA_1	2.7.1.11	ATP-dependent 6-phosphofructokinase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC020	FM04	ackA	LABG0002_02942	ackA	2.7.2.1	Acetate kinase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC011	FM02	ldh	LABG0002_03013	ldh1	1.1.1.27	L-lactate dehydrogenase 1	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC032	FM07	ldh	LABG0002_03013	ldh1	1.1.1.27	L-lactate dehydrogenase 1	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC002	FM01	pgi	LABG0002_03051	pgi	5.3.1.9	Glucose-6-phosphate isomerase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC009	FM01	eno	LABG0002_03180	eno	4.2.1.11	Enolase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC005	FM01	tpi	LABG0002_03182	tpiA	5.3.1.1	Triosephosphate isomerase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC007	FM01	pgk	LABG0002_03183	pgk	2.7.2.3	Phosphoglycerate kinase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC006	FM01	gap	LABG0002_03184	gapA	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 1	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC018	FM03	rpi	LABG0002_03543	rpiA	5.3.1.6	Ribose-5-phosphate isomerase A	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC021	FM05	adhE	LABG0002_03620		1.1.1.1	putative zinc-binding alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC022	FM05	adh	LABG0002_03620		1.1.1.1	putative zinc-binding alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC031	FM07	adhE	LABG0002_03620		1.1.1.1	putative zinc-binding alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC021	FM05	adhE	LABG0002_03635	adh_3	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC022	FM05	adh	LABG0002_03635	adh_3	1.1.1.1	Alcohol dehydrogenase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC031	FM07	adhE	LABG0002_03635	adh_3	1.1.1.1	Alcohol dehydrogenase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC003	FM01	pfk	LABG0002_03715	pfkA_2	2.7.1.11	ATP-dependent 6-phosphofructokinase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC004	FM01	fba	LABG0002_03718	fba_2	4.1.2.13	Fructose-bisphosphate aldolase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC005	FM01	tpi	LABG0002_04094	tpi-2	5.3.1.1	Triosephosphate isomerase 2	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC018	FM03	rpi	LABG0002_04095	rpiB	5.3.1.6	Ribose-5-P isomerase B	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC004	FM01	fba	LABG0002_04102	fba_3	4.1.2.13	Fructose-bisphosphate aldolase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC004	FM01	fba	LABG0002_04195	fbaA_2	4.1.2.13	putative fructose-bisphosphate aldolase	EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC019	FM04	pta	LABG0002_04224	pta	2.3.1.8	Phosphate acetyltransferase	gene+EC
LABG_0002	Bacillus clausii	GCF_034479305.1	GC014	FM03	zwf	LABG0002_04292	zwf_2	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC017	FM03	rpe	LABG0003_00118	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC011	FM02	ldh	LABG0003_00443	ldh_1	1.1.1.27	L-lactate dehydrogenase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC032	FM07	ldh	LABG0003_00443	ldh_1	1.1.1.27	L-lactate dehydrogenase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC016	FM03	gnd	LABG0003_00496	gndA	1.1.1.44	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC018	FM03	rpi	LABG0003_00511	rpiA	5.3.1.6	Ribose-5-phosphate isomerase A	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC014	FM03	zwf	LABG0003_00680	zwf	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC011	FM02	ldh	LABG0003_00692	ldh_2	1.4.1.9	Leucine dehydrogenase	gene
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC032	FM07	ldh	LABG0003_00692	ldh_2	1.4.1.9	Leucine dehydrogenase	gene
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC001	FM01	glk	LABG0003_00750	glcK	2.7.1.2	Glucokinase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC010	FM01	pyk	LABG0003_01041	pyk	2.7.1.40	Pyruvate kinase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC003	FM01	pfk	LABG0003_01042	pfkA	2.7.1.11	ATP-dependent 6-phosphofructokinase	EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC020	FM04	ackA	LABG0003_01057	ackA_1	2.7.2.1	Acetate kinase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC002	FM01	pgi	LABG0003_01234	pgi	5.3.1.9	Glucose-6-phosphate isomerase	gene+EC
LABG_0003	Bacillus coagulans	GCF_000832905.1	GC009	FM01	eno	LABG0003_01356	eno	4.2.1.11	Enolase	gene+EC
