Genome_ID,Species,Accession,Study_group,GC001,GC002,GC003,GC004,GC005,GC006,GC007,GC008,GC009,GC010,GC011,GC012,GC013,GC014,GC015,GC016,GC017,GC018,GC019,GC020,GC021,GC022,GC023,GC024,GC025,GC027,GC029,GC030,GC031,GC032,GC033
LABG_0001,Akkermansia muciniphila,GCF_009731575.1,fermentative_non_LAB,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
LABG_0002,Bacillus clausii,GCF_034479305.1,external_comparator,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
LABG_0003,Bacillus coagulans,GCF_000832905.1,external_comparator,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
LABG_0004,Bacillus subtilis,GCF_000009045.1,external_comparator,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0
LABG_0005,Bacteroides fragilis,GCF_000025985.1,external_comparator,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1
LABG_0006,Bacteroides xylanisolvens,GCF_018289135.1,external_comparator,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1
LABG_0007,Bifidobacterium adolescentis,GCF_000010425.1,fermentative_non_LAB,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0
LABG_0008,Bifidobacterium bifidum,GCF_001025135.1,fermentative_non_LAB,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
LABG_0009,Bifidobacterium breve,GCF_001025175.1,fermentative_non_LAB,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
LABG_0010,Bifidobacterium dentium,GCF_001042595.1,fermentative_non_LAB,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
LABG_0011,Bifidobacterium infantis,GCF_900637215.1,fermentative_non_LAB,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
LABG_0012,Bifidobacterium lactis,GCF_000022965.1,fermentative_non_LAB,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0
LABG_0013,Bifidobacterium longum,GCF_000196555.1,fermentative_non_LAB,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0
LABG_0014,Bifidobacterium pseudolongum,GCF_002706665.1,fermentative_non_LAB,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
LABG_0015,Clostridium butyricum,GCF_014131795.1,external_comparator,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
LABG_0016,Enterococcus faecalis,GCF_000393015.1,Enterococcus,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
LABG_0017,Enterococcus faecium,GCF_009734005.1,Enterococcus,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LABG_0018,Enterococcus mundtii,GCF_002813755.1,Enterococcus,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LABG_0019,Escherichia coli Nissle 1917,GCF_000714595.1,external_comparator,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
LABG_0020,Faecalibacterium prausnitzii,GCF_000154385.1,external_comparator,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0
LABG_0021,Lactiplantibacillus plantarum,GCF_000023085.1,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0022,Lactiplantibacillus plantarum,GCF_000148815.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0023,Lactiplantibacillus plantarum,GCF_000203855.3,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LABG_0024,Lactiplantibacillus plantarum,GCF_000338115.2,core_LAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
